Partial-Vaccinated,State,Total,Total-Vaccinated,Vaccinated-today,date
133783.0,Daman and Diu,148183.0,14400.0,2728.0,2021-06-15
16636379.0,Rajasthan,19990335.0,3353956.0,82279.0,2021-06-15
476657.0,Manipur,548282.0,71625.0,4554.0,2021-06-15
455958.0,Meghalaya,530738.0,74780.0,13728.0,2021-06-15
320738.0,Mizoram,373131.0,52393.0,15745.0,2021-06-15
309229.0,Nagaland,361734.0,52505.0,11972.0,2021-06-15
7503538.0,Odisha,9186151.0,1682613.0,117529.0,2021-06-15
286199.0,Puducherry,339695.0,53496.0,5491.0,2021-06-15
4450734.0,Punjab,5277700.0,826966.0,28378.0,2021-06-15
242535.0,Sikkim,302373.0,59838.0,15483.0,2021-06-15
12497943.0,Madhya Pradesh,14495499.0,1997556.0,39655.0,2021-06-15
9104491.0,Tamil Nadu,11285738.0,2181247.0,86351.0,2021-06-15
6979076.0,Telangana,8333524.0,1354448.0,161147.0,2021-06-15
1185855.0,Tripura,1706142.0,520287.0,23129.0,2021-06-15
19995723.0,Uttar Pradesh,23871523.0,3875800.0,406408.0,2021-06-15
2705277.0,Uttarakhand,3419105.0,713828.0,41403.0,2021-06-15
14013951.0,West Bengal,18123718.0,4109767.0,243790.0,2021-06-15
21239855.0,Maharashtra,26524389.0,5284534.0,247653.0,2021-06-15
117545.0,Andaman and Nicobar Islands,132939.0,15394.0,865.0,2021-06-15
41486.0,Lakshadweep,48599.0,7113.0,307.0,2021-06-15
4719321.0,Delhi,6208289.0,1488968.0,53455.0,2021-06-15
155927.0,Ladakh,193330.0,37403.0,892.0,2021-06-15
347059.0,Arunachal Pradesh,426293.0,79234.0,5032.0,2021-06-15
3984232.0,Assam,4951863.0,967631.0,57112.0,2021-06-15
10273357.0,Bihar,12205407.0,1932050.0,57227.0,2021-06-15
343058.0,Chandigarh,419164.0,76106.0,6890.0,2021-06-15
5176603.0,Chhattisgarh,6344469.0,1167866.0,5514.0,2021-06-15
118673.0,Dadra and Nagar Haveli,130771.0,12098.0,4010.0,2021-06-15
9765707.0,Andhra Pradesh,12406367.0,2640660.0,81410.0,2021-06-15
577925.0,Goa,676789.0,98864.0,18021.0,2021-06-15
5862113.0,Haryana,6952038.0,1089925.0,69942.0,2021-06-15
2222751.0,Himachal Pradesh,2659045.0,436294.0,44148.0,2021-06-15
3194499.0,Jammu and Kashmir,3782472.0,587973.0,46041.0,2021-06-15
4445031.0,Jharkhand,5275846.0,830815.0,62691.0,2021-06-15
14412058.0,Karnataka,17482779.0,3070721.0,201365.0,2021-06-15
16214004.0,Gujarat,20855692.0,4641688.0,260213.0,2021-06-15
9307169.0,Kerala,11635416.0,2328247.0,209920.0,2021-06-15
4690576.0,Delhi,6154661.0,1464085.0,60947.0,2021-06-14
4385314.0,Jharkhand,5200591.0,815277.0,75720.0,2021-06-14
3146640.0,Jammu and Kashmir,3732404.0,585764.0,48009.0,2021-06-14
2178801.0,Himachal Pradesh,2614787.0,435986.0,26685.0,2021-06-14
5797875.0,Haryana,6875456.0,1077581.0,85885.0,2021-06-14
15979244.0,Gujarat,20587151.0,4607907.0,277374.0,2021-06-14
559670.0,Goa,658193.0,98523.0,18586.0,2021-06-14
10210633.0,Bihar,12133333.0,1922700.0,85217.0,2021-06-14
114675.0,Dadra and Nagar Haveli,126748.0,12073.0,4626.0,2021-06-14
5173815.0,Chhattisgarh,6337979.0,1164164.0,6534.0,2021-06-14
336282.0,Chandigarh,412175.0,75893.0,6749.0,2021-06-14
3937220.0,Assam,4891540.0,954320.0,76973.0,2021-06-14
341823.0,Arunachal Pradesh,420935.0,79112.0,5899.0,2021-06-14
9683451.0,Andhra Pradesh,12319387.0,2635936.0,349658.0,2021-06-14
116632.0,Andaman and Nicobar Islands,132004.0,15372.0,936.0,2021-06-14
9154064.0,Kerala,11422135.0,2268071.0,189816.0,2021-06-14
14219979.0,Karnataka,17262828.0,3042849.0,249812.0,2021-06-14
297104.0,Nagaland,349528.0,52424.0,12671.0,2021-06-14
155038.0,Ladakh,192431.0,37393.0,1363.0,2021-06-14
40722.0,Lakshadweep,47816.0,7094.0,801.0,2021-06-14
2671224.0,Uttarakhand,3377012.0,705788.0,55832.0,2021-06-14
19608395.0,Uttar Pradesh,23445493.0,3837098.0,432313.0,2021-06-14
1164688.0,Tripura,1681689.0,517001.0,20004.0,2021-06-14
6817886.0,Telangana,8167470.0,1349584.0,180332.0,2021-06-14
8976866.0,Tamil Nadu,11147886.0,2171020.0,234671.0,2021-06-14
226626.0,Sikkim,286462.0,59836.0,12890.0,2021-06-14
